lambda	estimate	std.error	conf.low	conf.high	nzero	log_lambda
1.4897693717799778	6.6062658876753515	0.20029949977099148	6.4059663879043605	6.8065653874463425	0	0.17311904135472025
1.3574223668850987	6.60004374653326	0.20021998829285576	6.399823758240404	6.800263734826117	3	0.13271500098830907
1.236832705131002	6.585549509250717	0.19952567255029313	6.386023836700423	6.78507518180101	3	0.09231096062189786
1.1269558965585844	6.566434826831333	0.19838821925098585	6.3680466075803475	6.764823046082319	4	0.05190692025548666
1.026840240817892	6.545480922298008	0.19735384863193006	6.348127073666078	6.742834770929938	5	0.011502879889075493
0.9356185839949893	6.523148541416745	0.1963729580722419	6.326775583344503	6.719521499488987	8	-0.02890116047733573
0.8525008077396102	6.498316631113831	0.1959699031760515	6.30234672793778	6.6942865342898825	11	-0.06930520084374696
0.7767669856380066	6.471517294238389	0.1959433311416289	6.27557396309676	6.667460625380017	13	-0.10970924121015815
0.7077611475547703	6.441121388825928	0.1966870201587633	6.244434368667164	6.637808408984691	14	-0.1501132815765694
0.6448855979333417	6.409834851087662	0.19780740891083767	6.212027442176824	6.607642259998499	20	-0.1905173219429806
0.5875957388430407	6.380095044534143	0.19829083336254577	6.181804211171597	6.5783858778966895	25	-0.2309213623093918
0.5353953529323313	6.352231496648795	0.19860990323464875	6.153621593414146	6.550841399883444	30	-0.27132540267580296
0.487832305431516	6.327602922645584	0.19877081529187401	6.12883210735371	6.526373737937457	33	-0.31172944304221417
0.4444946279776663	6.309135567303122	0.19903807813589866	6.110097489167224	6.508173645439021	43	-0.3521334834086254
0.4050069503417511	6.296074871035322	0.19864813929378666	6.097426731741535	6.494723010329109	60	-0.39253752377503653
0.36902724915129315	6.285342959177311	0.19764165928391303	6.087701299893398	6.482984618461224	90	-0.4329415641414478
0.3362438854475433	6.279416538566728	0.19646533092526403	6.0829512076414645	6.475881869491992	125	-0.47334560450785895
0.3063729054179099	6.280486484398624	0.194743671814957	6.085742812583667	6.4752301562135814	155	-0.5137496448742701
0.27915558092388015	6.288989295541136	0.19394365020641216	6.095045645334724	6.482932945747549	199	-0.5541536852406814
0.2543561685216617	6.306878682600472	0.19335102651919192	6.11352765608128	6.500229709119664	256	-0.5945577256070925
0.2317598675652538	6.332538409689799	0.19262130059533217	6.139917109094466	6.5251597102851315	298	-0.6349617659735038
0.21117095970601424	6.364700725126719	0.19256112350975552	6.172139601616963	6.557261848636474	361	-0.6753658063399149
0.1924111136739562	6.404009256148502	0.1932344461218994	6.210774810026602	6.597243702270402	429	-0.7157698467063262
0.17531784065760295	6.450377083486414	0.19386117149309542	6.2565159119933185	6.644238254979509	483	-0.7561738870727374
0.15974308690363853	6.502868560133865	0.1948643850230462	6.308004175110819	6.697732945156911	534	-0.7965779274391486
0.14555195134612667	6.561659894028748	0.19642765022962214	6.3652322437991256	6.75808754425837	604	-0.8369819678055598
0.1326215171580153	6.6304348102682935	0.19852487101337654	6.431909939254917	6.82895968128167	666	-0.877386008171971
0.12083978710438495	6.707721341462106	0.20080215902547427	6.506919182436632	6.90852350048758	738	-0.9177900485383822
0.1101047134759803	6.792532992534609	0.20227925909011385	6.590253733444495	6.994812251624722	809	-0.9581940889047934
0.10032331420077292	6.885797926773989	0.20258030351352327	6.683217623260466	7.088378230287512	872	-0.9985981292712046
0.0914108674777367	6.985080382169807	0.2030087759578591	6.7820716062119475	7.188089158127666	928	-1.0390021696376157
0.08329017795713894	7.090326612549984	0.2042529647327119	6.886073647817272	7.294579577282696	986	-1.079406210004027
0.07589090811135181	7.201741917132546	0.20641109858640677	6.995330818546139	7.408153015718953	1055	-1.1198102503704381
0.06914896900483802	7.3174865455008	0.2087449479330147	7.108741597567785	7.526231493433815	1093	-1.1602142907368493
0.06300596518645188	7.435327502622673	0.21127364912651994	7.224053853496153	7.646601151749193	1146	-1.2006183311032605
0.057408688895978194	7.555549707015742	0.21394958158732835	7.341600125428414	7.76949928860307	1202	-1.2410223714696718
0.05230865920396843	7.677654048776671	0.21666742195189584	7.460986626824775	7.894321470728567	1245	-1.281426411836083
0.04766170209312334	7.80090230008885	0.21978979702973492	7.581112503059115	8.020692097118586	1295	-1.3218304522024942
0.043427567844088404	7.925661309001079	0.22324093941791723	7.7024203695831615	8.148902248418995	1343	-1.3622344925689054
0.03956958241164047	8.051874527386568	0.226900214120672	7.824974313265896	8.27877474150724	1376	-1.4026385329353166
0.036054329771653224	8.178032384147917	0.2310834048676378	7.946948979280279	8.409115789015555	1411	-1.4430425733017278
0.032851362487482674	8.3028223360930955	0.23527781468870376	8.067544521404391	8.5381001507818	1441	-1.4834466136681392
0.02993293798883723	8.428244953491165	0.23943295418240643	8.188811999308758	8.667677907673571	1488	-1.5238506540345504
0.027273778278906084	8.555242244536599	0.24420369685042473	8.311038547686174	8.799445941387024	1510	-1.5642546944009614
0.024850850988444022	8.681146459356063	0.24944788892558772	8.431698570430475	8.93059434828165	1535	-1.6046587347673726
0.02264316988040789	8.805832123286077	0.25527469517362883	8.550557428112448	9.061106818459706	1564	-1.6450627751337839
0.0206316130772113	8.928925818362702	0.26180916313507574	8.667116655227625	9.190734981497778	1587	-1.685466815500195
0.018798757436169027	9.048337132981707	0.2687220116295492	8.779615121352158	9.317059144611257	1605	-1.7258708558666063
0.017128727638570426	9.164931333265477	0.2756368925771796	8.889294440688298	9.440568225842656	1622	-1.7662748962330175
0.01560705868526365	9.276247596758372	0.2829294657532602	8.993318131005111	9.559177062511633	1642	-1.8066789365994287
