lambda	estimate	std.error	conf.low	conf.high	nzero	log_lambda
1.471127370742661	1.1742365240097083	0.12075451786462026	1.053482006145088	1.2949910418743287	0	0.16765027572954713
1.4042623613562248	1.1742530398167963	0.1207744067693912	1.053478633047405	1.2950274465861875	3	0.1474482555463416
1.340436469838958	1.1743146008135434	0.12078856340081738	1.053526037412726	1.295103164214361	4	0.12724623536313603
1.2795115635934455	1.1741665760748599	0.12082146931067027	1.0533451067641897	1.29498804538553	4	0.10704421517993042
1.2213557883620054	1.1715013822969838	0.12111745014053646	1.0503839321564472	1.2926188324375203	5	0.08684219499672483
1.1658432828664567	1.1690070529678296	0.12145804269013813	1.0475490102776914	1.2904650956579677	7	0.06664017481351918
1.1128539064179535	1.166661100506432	0.12179437932446191	1.04486672118197	1.288455479830894	8	0.046438154630313554
1.0622729789073706	1.1644397304126644	0.1221399243703487	1.0422998060423156	1.286579654783013	9	0.026236134447107966
1.013991032613528	1.162038287748451	0.12253652624185905	1.039501761506592	1.28457481399031	11	0.006034114263902384
0.9679035752921143	1.1598546425091287	0.12299028631491012	1.0368643561942186	1.2828449288240389	11	-0.01416790591930318
0.9239108640325848	1.1576014184305536	0.1234804691901145	1.034120949240439	1.2810818876206682	11	-0.034369926102508816
0.881917689393612	1.154449712123833	0.12401116157090972	1.0304385505529234	1.2784608736947427	17	-0.05457194628571443
0.8418331693499133	1.148509599670203	0.12424905350385737	1.0242605461663457	1.2727586531740605	18	-0.07477396646891998
0.8035705526045125	1.13971500529271	0.1246787713109768	1.0150362339817334	1.2643937766036868	20	-0.0949759866521256
0.7670470308407648	1.1309478999520852	0.12521795327865587	1.0057299466734293	1.2561658532307411	22	-0.11517800683533116
0.732183559507814	1.122159873536901	0.12574067785438028	0.9964191956825207	1.2479005513912813	29	-0.13538002701853677
0.6989046867516302	1.1133731528967015	0.12622460595131463	0.9871485469453869	1.239597758848016	36	-0.1555820472017423
0.6671383901213931	1.1038714396644873	0.12652326227733185	0.9773481773871555	1.230394701941819	40	-0.1757840673849479
0.6368159206978246	1.0935954651410744	0.12655713046632325	0.9670383346747512	1.2201525956073977	45	-0.19598608756815353
0.6078716543061278	1.0823968200375245	0.12629043651572583	0.9561063835217987	1.2086872565532503	49	-0.21618810775135905
0.5802429494915277	1.0712239264268575	0.12592999363499685	0.9452939327918606	1.1971539200618544	54	-0.2363901279345646
0.5538700119500432	1.0603368708271002	0.12552592758458278	0.9348109432425173	1.185862798411683	62	-0.25659214811777015
0.5286957651210895	1.0498562957074569	0.12457594836081472	0.9252803473466421	1.1744322440682715	68	-0.2767941683009758
0.5046657266618468	1.0393358760990168	0.12316709444342958	0.9161687816555872	1.1625029705424463	70	-0.2969961884841813
0.48172789053605836	1.0284518929577713	0.12158931539717345	0.9068625775605978	1.1500412083549447	76	-0.31719820866738696
0.45983261446207646	1.0164478892265174	0.12012356144438177	0.8963243277821357	1.1365714506708993	80	-0.3374002288505925
0.4389325124765667	1.0040540841058585	0.11890622266220388	0.8851478614436546	1.1229603067680625	88	-0.3576022490337981
0.4189823523813592	0.9915766241483044	0.11775369943836042	0.8738229247099439	1.1093303235866647	98	-0.3778042692170037
0.3999389578514974	0.9797139028755919	0.11646188752705174	0.8632520153485401	1.0961757904026437	98	-0.3980062894002093
0.38176111499262794	0.9683715594039803	0.11492814193219292	0.8534434174717874	1.0832997013361734	105	-0.4182083095834148
0.364409483145501	0.9583705619299445	0.11337571335075909	0.8449948485791854	1.0717462752807037	112	-0.4384103297666204
0.3478465097445441	0.9502928365009323	0.11175421278316452	0.8385386237177678	1.0620470492840968	119	-0.45861234994982597
0.33203634904624474	0.944115309518211	0.11009187055494656	0.8340234389632645	1.0542071800731576	124	-0.4788143701330316
0.3169447845514537	0.9388143853139859	0.1086573918761594	0.8301569934378265	1.0474717771901452	134	-0.4990163903162372
0.3025391549537143	0.9337791599519869	0.107508644329788	0.8262705156221989	1.0412878042817748	139	-0.5192184104994427
0.2887882834533544	0.9283024991776675	0.10688413958119806	0.8214183595964695	1.0351866387588655	148	-0.5394204306826483
0.275662410284362	0.9239893645399696	0.10637462565742334	0.8176147388825463	1.0303639901973929	157	-0.5596224508658539
0.26313312830801855	0.920795866622277	0.10594786293969607	0.8148480036825809	1.026743729561973	160	-0.5798244710490595
0.2511733215339009	0.9183917034475514	0.10550685711734564	0.8128848463302057	1.0238985605648971	164	-0.6000264912322651
0.23975710643519849	0.9173411422137523	0.10502421513436197	0.8123169270793903	1.0223653573481142	165	-0.6202285114154708
0.22885977593134052	0.9171332488573896	0.10449476702718197	0.8126384818302076	1.0216280158845716	179	-0.6404305315986762
0.2184577459166983	0.9178855713080529	0.10393307730341923	0.8139524940046337	1.0218186486114722	187	-0.660632551781882
0.2085285042196414	0.9193428794421205	0.10337270294502661	0.8159701764970938	1.022715582387147	203	-0.6808345719650875
0.19905056188148273	0.9213309909644265	0.10280507618730067	0.8185259147771258	1.0241360671517272	209	-0.7010365921482931
0.19000340664987161	0.9245846570585267	0.10229312345760733	0.8222915336009193	1.026877780516134	220	-0.7212386123314987
0.18136745858598305	0.9290056468412327	0.1017227674362695	0.8272828794049631	1.0307284142775022	223	-0.7414406325147043
0.17312402768942933	0.9341288143314522	0.10115270218412885	0.8329761121473234	1.035281516515581	234	-0.7616426526979099
0.16525527344918464	0.9400353714470905	0.1006169563654699	0.8394184150816206	1.0406523278125603	246	-0.7818446728811154
0.15774416623298237	0.9466176482751413	0.10037227670504813	0.8462453715700932	1.0469899249801895	252	-0.802046693064321
